#Columns: article key	in degree in context age-tapered	in degree in context	in degree out of context	in degree out of context age tapered	tf-idf score (-1.0 if it is the article itself)	title	year	"cited by article (1 if cited, 0 if not, -1 if article itself)"	"included in who to call (1 if included, 0 if not)"	author number																																																																																																																																																																																																																																																																																																																																														
400988	0.027777778	1	2.166666667	78	0	"DIRECT MEASUREMENTS OF ATMOSPHERIC CH2O,HNO2,O3,NO2, AND SO2 BY DIFFERENTIAL OPTICAL-ABSORPTION IN THE NEAR UV"	1980	0	0		2	"PERNER, D"		perner_d		1	"PLATT, U"		platt_u																																																																																																																																																																																																																																																																																																																																					
404172	0.057142857	2	0.457142857	16	0	HYDROGEN AND CARBON ISOTOPES OF PETROLEUM AND RELATED ORGANIC-MATTER	1981	0	0		2	"EPSTEIN, S"		epstein_s_80		1	"YEH, HW"		yeh_hw																																																																																																																																																																																																																																																																																																																																					
405216	0.057142857	2	2.485714286	87	0	SEASONAL AND LATITUDINAL VARIATION OF (CO)-C-14 AND TROPOSPHERIC CONCENTRATION OF OH RADICALS	1981	0	0		3	"DERWENT, RG"		derwent_rg		2	"EHHALT, DH"		ehhalt_dh		1	"VOLZ, A"		volz_a																																																																																																																																																																																																																																																																																																																																
405921	0.028571429	1	2.742857143	96	0	REMOTE-SENSING OF TOTAL DRY-MATTER ACCUMULATION IN WINTER-WHEAT	1981	0	0		3	"ELGIN, JH"		elgin_jh		2	"HOLBEN, BN"		holben_bn		4	"MCMURTREY, JE"		mcmurtrey_je		1	"TUCKER, CJ"		tucker_cj																																																																																																																																																																																																																																																																																																																											
409541	0.028571429	1	1.942857143	68	0	MEASUREMENTS OF C2-C5 HYDROCARBONS OVER THE NORTH-ATLANTIC	1981	0	0		2	"EHHALT, DH"		ehhalt_dh		1	"RUDOLPH, J"		rudolph_j																																																																																																																																																																																																																																																																																																																																					
412457	0.029411765	1	1.5	51	0	ROLE OF DIFFUSION IN PRIMARY MIGRATION OF HYDROCARBONS	1982	0	0		1	"LEYTHAEUSER, D"		leythaeuser_d		2	"SCHAEFER, RG"		schaefer_rg		3	"YUKLER, A"		yukler_a																																																																																																																																																																																																																																																																																																																																
414192	0.029411765	1	19.41176471	660	0	NITROGEN AND LIGNIN CONTROL OF HARDWOOD LEAF LITTER DECOMPOSITION DYNAMICS	1982	0	0		2	"ABER, JD"		aber_jd		1	"MELILLO, JM"		melillo_jm		3	"Muratore, JF"		muratore_jf																																																																																																																																																																																																																																																																																																																																
422433	0.03030303	1	0.909090909	30	0	A DECONVOLUTION OF THE TREE-RING BASED DELTA-C-13 RECORD	1983	0	0		2	"BROECKER, WS"		broecker_ws		3	"FREYER, HD"		freyer_hd		1	"PENG, TH"		peng_th		4	"TRUMBORE, S"		trumbore_s																																																																																																																																																																																																																																																																																																																											
422926	0.03030303	1	0.363636364	12	0	DIFFUSION OF LIGHT-HYDROCARBONS IN SUBSURFACE SEDIMENTARY-ROCKS	1983	0	0		1	"LEYTHAEUSER, D"		leythaeuser_d		3	"POOCH, H"		pooch_h		2	"SCHAEFER, RG"		schaefer_rg																																																																																																																																																																																																																																																																																																																																
425695	0.03030303	1	0.242424242	8	0	ON THE TEMPORAL INCREASE OF TROPOSPHERIC CH4	1983	0	0		1	"EHHALT, DH"		ehhalt_dh		3	"LAMONTAGNE, RA"		lamontagne_ra		2	"ZANDER, RJ"		zander_rj																																																																																																																																																																																																																																																																																																																																
427386	0.03030303	1	1.484848485	49	0	FORMALDEHYDE (HCHO) MEASUREMENTS IN THE NONURBAN ATMOSPHERE	1983	0	0		1	"LOWE, DC"		lowe_dc		2	"SCHMIDT, U"		schmidt_u																																																																																																																																																																																																																																																																																																																																					
428204	0.03030303	1	1.121212121	37	0	ON THE TEMPORAL VARIANCE OF STRATOSPHERIC TRACE GAS CONCENTRATIONS	1983	0	0		1	"EHHALT, DH"		ehhalt_dh		2	"ROTH, EP"		roth_ep		3	"SCHMIDT, U"		schmidt_u																																																																																																																																																																																																																																																																																																																																
430256	0.03125	1	0.9375	30	0	A NOVEL-APPROACH FOR RECOGNITION AND QUANTIFICATION OF HYDROCARBON MIGRATION EFFECTS IN SHALE-SANDSTONE SEQUENCES	1984	0	0		4	"BJOROY, M"		bjoroy_m		1	"LEYTHAEUSER, D"		leythaeuser_d		2	"MACKENZIE, A"		mackenzie_a		3	"SCHAEFER, RG"		schaefer_rg																																																																																																																																																																																																																																																																																																																											
