year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1982	0	71	367	10.7941176471	367	10.7941176471	7629	224.382352941
1983	0	81	235	7.12121212121	235	7.12121212121	4643	140.696969697
1984	0	110	423	13.21875	423	13.21875	9971	311.59375
1985	0	127	506	16.3225806452	506	16.3225806452	12909	416.419354839
1986	0	128	463	15.4333333333	463	15.4333333333	12517	417.233333333
1987	0	145	546	18.8275862069	546	18.8275862069	19172	661.103448276
1988	0	137	492	17.5714285714	492	17.5714285714	14683	524.392857143
1989	0	171	488	18.0740740741	488	18.0740740741	16711	618.925925926
1990	0	1378	4655	179.038461538	4655	179.038461538	125982	4845.46153846
1991	6	14990	51149	2045.96	51149	2045.96	1501389	60055.56
1992	3	14706	49181	2049.20833333	49181	2049.20833333	1492574	62190.5833333
1993	0	14393	44671	1942.2173913	44671	1942.2173913	1432772	62294.4347826
1994	6	14035	40384	1835.63636364	40384	1835.63636364	1287653	58529.6818182
1995	0	13112	36573	1741.57142857	36573	1741.57142857	1199753	57131.0952381
1996	9	11990	32165	1608.25	32165	1608.25	1033742	51687.1
1997	18	10610	25848	1360.42105263	25848	1360.42105263	894618	47085.1578947
1998	9	8737	19673	1092.94444444	19673	1092.94444444	666986	37054.7777778
1999	6	6622	12801	753.000000001	12801	753.000000001	408314	24018.4705882
2000	12	4223	7032	439.5	7032	439.5	217940	13621.25
2001	18	1902	2654	176.933333333	2654	176.933333333	90137	6009.13333334
2002	12	866	952	68.0	952	68.0	21285	1520.35714286
2003	27	403	283	21.7692307692	283	21.7692307692	4245	326.538461538
2004	12	171	18	1.5	18	1.5	90	7.5
